Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,A,B,Bridge,ED,Meta Description,Meta Features,Lens Color,Frame Colo,SKU,Lifestyle,Fit,Category,Gender,Frame Material,Shape,Mount,Polar/Non Polar,Lens Material
liberty-all-pro-goggle-xl,Liberty All Pro Goggle Xl,"<p>Our All Pro Goggles offer certified protection - impact resistance durable prescription sports goggles. Perfect for basketball, tennis and soccer.</p>",Liberty,Goggles,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Unisex, Shape-XXXXX, Frame Color-Shiny Black, Lens Color-Shiny Black",True,Frame Color/Lens Color,Shiny Black,,,,,218,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/a/l/all-pro_goggle_shinyblack_3_1.jpg,1,[Shiny Black],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/a/l/all-pro_goggle_shinyblack_3_1.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-velocity,Liberty Velocity,"<p>Impact resistant prescription sports eyewear combine with padded frames and vented endpieces to make Velocity an ideal choice of sports glasses for basketball, tennis and more.</p>",Liberty,Sunglasses,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Unisex, Shape-XXXXX, Frame Color-Satin Black/Satin Gunmetal,Frame Color-Shiny Gunmetal/Satin Black, Lens Color-Satin Gunmetal,Lens Color-Satin Black",True,Frame Color/Lens Color,Satin Black/Satin Gunmetal,,,,,7778,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/v/e/velocity_satinblack_1_1.jpg,1,[Satin Black/Satin Gunmetal],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/v/e/velocity_satinblack_1_1.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-velocity,,,,,,,,Shiny Gunmetal/Satin Black,,,,,7775,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/v/e/velocity_shinygunmetal_1_1.jpg,2,[Shiny Gunmetal/Satin Black],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/v/e/velocity_shinygunmetal_1_1.jpg,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,Liberty Street Series,"<p>Our Street Series prescription lens protection provides you with certified impact resistance for multiple sports, in one pair of youth sports eyewear.</p>",Liberty,Sunglasses,"Category-Sunglasses, Brand-Liberty, Price-174.95, Gender-Unisex, Shape-XXXXX, Frame Color-Audio Skull,Frame Color-Bright Lights,Frame Color-Bullseye Ripple,Frame Color-Collegiate,Frame Color-Electric Wave,Frame Color-Graffiti Splatter,Frame Color-Icarus Heart,Frame Color-Neon Tag,Frame Color-Peace & Love,Frame Color-Raceway,Frame Color-Shatter,Frame Color-Sword Totem, Lens Color-Audio Skull,Lens Color-Bright Lights,Lens Color-Bullseye Ripple,Lens Color-Collegiate,Lens Color-Electric Wave,Lens Color-Graffiti Splatter,Lens Color-Icarus Heart,Lens Color-Neon Tag,Lens Color-Peace & Love,Lens Color-Raceway,Lens Color-Shatter,Lens Color-Sword Totem",True,Frame Color/Lens Color,Audio Skull,,,,,6801,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_audio_skull_480x480.png,1,[Audio Skull],False,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_audio_skull_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Bright Lights,,,,,6828,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_bright_lights_480x480.png,2,[Bright Lights],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_bright_lights_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Bullseye Ripple,,,,,6795,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_bullseye_ripple_480x480.png,3,[Bullseye Ripple],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_bullseye_ripple_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Collegiate,,,,,6774,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_collegiate_480x480.png,4,[Collegiate],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_collegiate_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Electric Wave,,,,,6765,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_electric_wave_480x480.png,5,[Electric Wave],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_electric_wave_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Graffiti Splatter,,,,,6813,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_graffiti_splatter_480x480.png,6,[Graffiti Splatter],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_graffiti_splatter_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
liberty-street-series,,,,,,,,Icarus Heart,,,,,6825,0,shopify,continue,manual,174.95,,True,True,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_icarus_heart_480x480.png,7,[Icarus Heart],,,,,,,,,,,,,,,,,https://www.libertysport.com/media/catalog/product/cache/4433cc4d8a05a01ebccc1272e5f4b794/s/t/street_series_icarus_heart_480x480.png,lb,,,,,,,,,,,,,,,,,,,,
